track_id,track_name,artists,album_name,track_genre,popularity,duration_ms,explicit,danceability,energy,acousticness,valence,tempo,loudness,speechiness,instrumentalness,liveness,key,mode
5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,Comedy,acoustic,73,230666,False,0.676,0.461,0.0322,0.715,87.917,-6.746,0.143,1.01e-06,0.358,1,0
4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,Ghost (Acoustic),acoustic,55,149610,False,0.42,0.166,0.924,0.267,77.489,-17.235,0.0763,5.56e-06,0.101,1,1
1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,Ingrid Michaelson;ZAYN,To Begin Again,acoustic,57,210826,False,0.438,0.359,0.21,0.12,76.332,-9.734,0.0557,0.0,0.117,0,1
6lfxq3CG4xtTiEg7opyCyx,Cant Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),acoustic,71,201933,False,0.266,0.0596,0.905,0.143,181.74,-18.515,0.0363,7.07e-05,0.132,0,1
5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,Hold On,acoustic,82,198853,False,0.618,0.443,0.469,0.167,119.949,-9.681,0.0526,0.0,0.0829,2,1
01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,Days I Will Remember,acoustic,58,214240,False,0.688,0.481,0.289,0.666,98.017,-8.807,0.105,0.0,0.189,6,1
6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There,acoustic,74,229400,False,0.407,0.147,0.857,0.0765,141.284,-8.822,0.0355,2.89e-06,0.0913,2,1
1EzrEOXmMH3G43AXT1y7pA,Im Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,acoustic,80,242946,False,0.703,0.444,0.559,0.712,150.96,-9.331,0.0417,0.0,0.0973,11,1
0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,acoustic,74,189613,False,0.625,0.414,0.294,0.669,130.088,-8.7,0.0369,0.0,0.151,0,1
7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,Hunger,acoustic,56,205594,False,0.442,0.632,0.426,0.196,78.899,-6.77,0.0295,0.00419,0.0735,1,1
4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,Episode,acoustic,74,244800,False,0.627,0.363,0.279,0.301,99.905,-8.127,0.0291,0.0,0.0928,8,1
5ivF4eQBqJiVL5IAE9jRyl,I Wont Give Up,Jason Mraz,Love Is a Four Letter Word,acoustic,69,240165,False,0.483,0.303,0.694,0.139,133.406,-10.058,0.0429,0.0,0.115,4,1
4ptDJbJl35d7gQfeNteBwp,Solo,Dan Berk,Solo,acoustic,52,198712,False,0.489,0.314,0.749,0.607,124.234,-9.245,0.0331,0.0,0.113,7,0
0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Anna Hamilton,Bad Liar,acoustic,62,248448,False,0.691,0.234,0.777,0.209,87.103,-6.441,0.0285,0.0,0.12,3,1
4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,Chord Overstreet;Deepend,Hold On (Remix),acoustic,56,188133,False,0.755,0.78,0.124,0.387,120.004,-6.084,0.0327,2.83e-05,0.121,2,1
1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,The Boy Who Never,acoustic,58,244986,False,0.489,0.561,0.2,0.238,83.457,-7.933,0.0274,4.56e-05,0.179,4,1
6xKeQgzfjixSUld14qUezm,ily (i love you baby),Andrew Foy;Renee Foy,ily (i love you baby),acoustic,56,129750,False,0.706,0.112,0.827,0.414,110.154,-18.098,0.0391,4.03e-06,0.125,2,1
4Yo0igmcoNyat1secaH0OD,At My Worst,Andrew Foy;Renee Foy,At My Worst,acoustic,54,169728,False,0.795,0.0841,0.742,0.609,91.803,-18.09,0.0461,1.17e-05,0.0853,10,0
2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,acoustic,68,189613,False,0.625,0.414,0.294,0.669,130.088,-8.7,0.0369,0.0,0.151,0,1
6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,Boyce Avenue;Bea Miller,Cover Sessions; Vol. 4,acoustic,67,260186,False,0.717,0.32,0.83,0.322,107.946,-8.393,0.0283,0.0,0.107,3,1
3S0OXQeoh0w6AY8WQVckRW,Im Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,acoustic,75,242946,False,0.703,0.444,0.559,0.712,150.96,-9.331,0.0417,0.0,0.0973,11,1
